الفريق الأول,نتيجة المباراة,الفريق الثانى,وقت المباراة,حالة المباراة,البطولة
برينتفورد,2 - 2,توتنهام هوتسبر,14:30,انتهت,الدوري الإنجليزي
ساوثامبتون,1 - 3,برايتون,17:00,انتهت,الدوري الإنجليزي
ليستر سيتي,0 - 3,نيوكاسل,17:00,انتهت,الدوري الإنجليزي
ايفرتون,1 - 2,وولفرهامبتون,17:00,انتهت,الدوري الإنجليزي
كريستال بالاس,0 - 3,فولهام,17:00,انتهت,الدوري الإنجليزي
استون فيلا,1 - 3,ليفربول,19:30,انتهت,الدوري الإنجليزي
أرسنال,3 - 1,وست هام يونايتد,22:00,انتهت,الدوري الإنجليزي
الباطن,1 - 2,الرائد,14:30,انتهت,الدوري السعودي
الفتح,4 - 1,الشباب,14:30,انتهت,الدوري السعودي
الفيحاء,2 - 1,الطــائي,17:00,انتهت,الدوري السعودي
الاتحاد,3 - 0,التعاون,17:00,انتهت,الدوري السعودي
النصر,2 - 2,الهلال,19:30,انتهت,الدوري السعودي
